No.,Time,Source,Destination,Protocol,Length,Info,Label
297,56.001136,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
298,56.010659,192.168.159.150,192.168.159.153,ICMP,98,"Echo (ping) request  id=0x6973, seq=6/1536, ttl=64 (reply in 299)",
299,56.010837,192.168.159.153,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6973, seq=6/1536, ttl=64 (request in 298)",
300,56.239299,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
301,56.999807,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
302,57.034896,192.168.159.150,192.168.159.153,ICMP,98,"Echo (ping) request  id=0x6973, seq=7/1792, ttl=64 (reply in 303)",
303,57.035068,192.168.159.153,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6973, seq=7/1792, ttl=64 (request in 302)",
304,57.038781,192.168.241.1,224.0.0.251,MDNS,86,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
305,57.039152,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,106,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
306,57.0397,192.168.241.1,224.0.0.251,MDNS,83,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
307,57.040137,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,103,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
308,57.040545,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,330,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
309,57.041006,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,321,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
