"No.","Time","Source","Destination","Protocol","Length","Info"
"136","32.567843","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"137","33.066690","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x2dcd A clients1.google.com.mydns.com"
"138","33.067139","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x2dcd No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"139","33.069139","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x4b5d A clients1.google.com"
"140","33.108836","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"141","33.395942","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"142","33.560904","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"143","34.064927","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x61cd A clients1.google.com"
"144","34.132960","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"145","34.597965","192.168.159.151","192.168.159.152","DNS","89","Standard query 0xd3c8 A accounts.google.com.mydns.com"
"146","34.598465","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0xd3c8 No such name A accounts.google.com.mydns.com SOA ubuntu.mydns.com"
"147","34.658365","VMware_9d:e8:5f","VMware_fe:64:2f","ARP","42","Who has 192.168.159.152? Tell 192.168.159.151"
"148","34.658652","VMware_fe:64:2f","VMware_9d:e8:5f","ARP","60","192.168.159.152 is at 00:0c:29:fe:64:2f"
"149","34.997798","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"150","35.995859","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"151","36.996051","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"152","37.013011","192.168.159.151","192.168.159.152","DNS","74","Standard query 0x5a71 A ntp.ubuntu.com"
"153","37.013230","192.168.159.151","192.168.159.152","DNS","74","Standard query 0xeb61 AAAA ntp.ubuntu.com"
"154","37.092097","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"155","38.002778","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x41b4 A clients2.google.com"
"156","38.003421","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"157","38.064600","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x32e8 Server failure A clients1.google.com"
"158","38.064659","192.168.159.151","192.168.159.152","ICMP","107","Destination unreachable (Port unreachable)"
"159","38.064723","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x4b5d Server failure A clients1.google.com"
"160","38.064747","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x61cd Server failure A clients1.google.com"
"161","38.064838","192.168.159.151","192.168.159.152","DNS","89","Standard query 0xd13b A clients1.google.com.mydns.com"
"162","38.064885","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x61cd A clients1.google.com"
"163","38.065120","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0xd13b No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"164","38.101162","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"165","38.999827","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"166","39.124831","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"167","39.559532","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"168","39.596871","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x2e65 Server failure A accounts.google.com"
"169","39.596939","192.168.159.151","192.168.159.152","ICMP","107","Destination unreachable (Port unreachable)"
"170","40.015727","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"171","40.567066","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"172","41.013439","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"173","41.559491","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"174","42.010947","192.168.159.152","192.168.159.151","DNS","74","Standard query response 0xeb61 Server failure AAAA ntp.ubuntu.com"
"175","42.010987","192.168.159.152","192.168.159.151","DNS","74","Standard query response 0x5a71 Server failure A ntp.ubuntu.com"
"176","42.011102","192.168.159.151","192.168.159.152","DNS","84","Standard query 0x68ad A ntp.ubuntu.com.mydns.com"
"177","42.011248","192.168.159.151","192.168.159.152","DNS","84","Standard query 0xd904 AAAA ntp.ubuntu.com.mydns.com"
"178","42.011468","192.168.159.152","192.168.159.151","DNS","132","Standard query response 0x68ad No such name A ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com"
"179","42.011544","192.168.159.152","192.168.159.151","DNS","132","Standard query response 0xd904 No such name AAAA ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com"
"180","42.011611","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"181","42.011800","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xb664 A 2.ubuntu.pool.ntp.org"
